unknown / non-applicable,less than $1 million (usd),$1 to $5 million (usd),$5 to $10 million (usd),$10 to $25 million (usd),$25 to $50 million (usd),$50 to $100 million (usd),$100 to $500 million (usd),$500 million to $1 billion (usd),$1 to $2 billion (usd),$2 to $5 billion (usd),$5 to $10 billion (usd),$10+ billion (usd)
130.2078651685393,124.05172413793103,142.83333333333334,135.25,120.75,137.0,,126.0,,,,,
129.42546583850933,120.33333333333333,137.75,145.94444444444446,109.38461538461539,105.85714285714286,128.72222222222223,121.7,,,,,
132.6161616161616,,122.53846153846153,,118.4375,115.89285714285714,93.5,133.9375,166.0,,,,
132.60752688172042,,,,143.3,,132.1153846153846,119.38235294117646,142.5,141.8,141.0,128.375,
143.6529411764706,,,,,118.25,98.0,124.85106382978724,134.61111111111111,126.83333333333333,149.75,144.0,123.6
110.41891891891892,,114.75,,,,,,136.1,144.85897435897436,127.32608695652173,174.5,136.17857142857142
93.27777777777777,,,,87.5,104.425,,,97.9,113.70833333333333,135.44354838709677,147.40217391304347,142.77891156462584
